"","X1","kill_num","species","dod","utm_e","utm_n","id","year","month","day","jday","season","coug_sex","long","lat","elevation"
"112",112,"18-060","elk",2018-02-25,546430,4969479,NA,2018,2,25,56,"winter",NA,-110.412155356569,44.8772172328409,2044.33
"113",113,"18-062","elk",2018-03-04,526517,4987565,NA,2018,3,4,63,"winter",NA,-110.663314695972,45.0410438592215,1748.32
"114",114,"18-093","elk",2018-03-10,541631,4979548,NA,2018,3,10,69,"winter",NA,-110.472082752342,44.968151596411,1765.05
"115",115,"18-095","elk",2018-03-14,545270,4972924,NA,2018,3,14,73,"winter",NA,-110.42653312487,44.9083025510455,2077.58
"116",116,"18-106","elk",2018-03-13,530386,4983953,NA,2018,3,13,72,"winter",NA,-110.614409532384,45.0083743936683,1950.82
"117",117,"18-107","elk",2018-03-19,530616,4984224,NA,2018,3,19,78,"winter",NA,-110.611474466902,45.0108039643558,1869.2
"118",118,"18-111","elk",2018-03-19,542618,4975375,NA,2018,3,19,78,"winter",NA,-110.459919678163,44.9305293525006,2213.69
"119",119,"18-112","elk",2018-03-17,528226,4986426,NA,2018,3,17,76,"winter",NA,-110.641679994539,45.0307248995145,1733.78
"120",120,"18-113","elk",2018-02-26,528473,4986209,NA,2018,2,26,57,"winter",NA,-110.638556765448,45.0287616497422,1741.97
"121",121,"18-272","elk",2018-02-01,527620,4978021,NA,2018,2,1,32,"winter",NA,-110.649833865275,44.9550889023147,2121.37
"122",122,"18-273","mule deer",2018-02-12,528635,4984170,NA,2018,2,12,43,"winter",NA,-110.636616456458,45.0104006266559,2057.48
"123",123,"18-274","mule deer",2018-02-12,527184,4988977,NA,2018,2,12,43,"winter",NA,-110.654769528016,45.0537289631273,1963.94
"124",124,"18-275","mule deer",2018-02-19,539757,4980194,NA,2018,2,19,50,"winter",NA,-110.495794809982,44.974074020165,1856.42
"125",125,"18-276","elk",2018-02-11,539304,4981834,NA,2018,2,11,42,"winter",NA,-110.501411678887,44.9888618876054,1733.17
"126",126,"18-277","mule deer",2018-02-20,526259,4986923,NA,2018,2,20,51,"winter",NA,-110.666624015691,45.0352743689298,1670.09
"127",127,"18-278","mule deer",2018-02-22,526173,4986685,NA,2018,2,22,53,"winter",NA,-110.667728223984,45.0331351411119,1651.03
"128",128,"18-279","elk",2018-02-02,533055,4970931,NA,2018,2,2,33,"winter",NA,-110.58139441121,44.8910340304451,2414.19
"129",129,"18-280","mule deer",2018-02-25,525714,4980262,NA,2018,2,25,56,"winter",NA,-110.673883433959,44.9753335499966,1963.68
"130",130,"18-281","mule deer",2018-02-17,524964,4982122,NA,2018,2,17,48,"winter",NA,-110.683302953681,44.9921036910245,1827
"131",131,"18-282","mule deer",2018-02-20,527423,4985818,NA,2018,2,20,51,"winter",NA,-110.651906804098,45.0252833835485,1772.25
"132",132,"18-283","mule deer",2018-02-24,539784,4981531,NA,2018,2,24,55,"winter",NA,-110.495346838602,44.9861076590881,1720.85
"133",133,"18-286","mule deer",2018-03-08,517105,4985220,NA,2018,3,8,67,"winter",NA,-110.782897211299,45.0202243828419,2177.71
"134",134,"18-287","mule deer",2018-03-07,518445,4984748,NA,2018,3,7,66,"winter",NA,-110.765906901119,45.015941924927,1916.04
"135",135,"18-288","mule deer",2018-03-07,518589,4984661,NA,2018,3,7,66,"winter",NA,-110.764082568854,45.015155005441,1928.45
"136",136,"18-290","mule deer",2018-03-09,529307,4984208,NA,2018,3,9,68,"winter",NA,-110.62808661393,45.0107152400615,1663.25
"137",137,"18-291","mule deer",2018-03-04,526525,4987556,NA,2018,3,4,63,"winter",NA,-110.663213597344,45.0409625443733,1742.38
"138",138,"18-292","mule deer",2018-03-10,526426,4987578,NA,2018,3,10,69,"winter",NA,-110.664469415524,45.0411642817622,1779.63
"139",139,"18-293","mule deer",2018-03-17,515820,4988558,NA,2018,3,17,76,"winter",NA,-110.799101679801,45.0503022836054,1819.01
"140",140,"18-294","mule deer",2018-03-14,532057,4983747,NA,2018,3,14,73,"winter",NA,-110.593218621329,45.0064464862526,1855.03
"141",141,"18-295","mule deer",2018-03-20,544253,4977544,NA,2018,3,20,79,"winter",NA,-110.439010873361,44.949953939471,1959.15
